"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2002-09-03",878.02002,1289800000,-0.043336126891503,-0.00188848121516978,-7.627696765674e-05,1522656000,0.279035509381299,-0.366921174319819,0.0979466603729054,900.006003833333,18.0030046333334,-624698000,"Down"
"2002-09-04",893.400024,1372100000,0.0172151372138311,-0.043336126891503,-0.00188848121516978,1487025333.33333,0.0599810509438088,0.279035509381299,-0.366921174319819,903.196004233333,-21.9859838333334,-232856000,"Up"
"2002-09-05",879.150024,1401300000,-0.0162088376397519,0.0172151372138311,-0.043336126891503,1441216666.66667,0.0208377934774852,0.0599810509438088,0.279035509381299,904.386671933333,-9.79598023333335,-114925333.333333,"Down"
"2002-09-06",893.919983,1184500000,0.0165226857894282,-0.0162088376397519,0.0172151372138311,1399876666.66667,-0.183030814689742,0.0208377934774852,0.0599810509438088,906.228004933333,-25.2366479333333,-39916666.6666667,"Up"
"2002-09-09",902.960022,1130600000,0.0100115606225587,0.0165226857894282,-0.0162088376397519,1377693333.33333,-0.0476738015213161,-0.183030814689742,0.0208377934774852,907.898671433333,-12.3080219333334,-215376666.666667,"Up"
"2002-09-10",909.580017,1186400000,0.0072780787575284,0.0100115606225587,0.0165226857894282,1357951666.66667,0.0470330411328388,-0.0476738015213161,-0.183030814689742,908.252671266667,-4.93864943333335,-247093333.333333,"Up"
"2002-09-11",909.450012,846600000,-0.000142949033244922,0.0072780787575284,0.0100115606225587,1325302000,-0.401370186628868,0.0470330411328388,-0.0476738015213161,908.475004033333,1.32734573333335,-171551666.666667,"Down"
"2002-09-12",886.909973,1191600000,-0.0254141228379219,-0.000142949033244922,0.0072780787575284,1296710000,0.289526686807654,-0.401370186628868,0.0470330411328388,907.651336633333,0.975007966666681,-478702000,"Down"
"2002-09-13",889.809998,1.271e+09,0.00325915083727786,-0.0254141228379219,-0.000142949033244922,1283336666.66667,0.0624704956726987,0.289526686807654,-0.401370186628868,907.823004133333,-20.7413636333333,-105110000,"Up"
"2002-09-16",891.099976,1001400000,0.00144762432358097,0.00325915083727786,-0.0254141228379219,1265446666.66667,-0.269223087677252,0.0624704956726987,0.289526686807654,908.718337,-18.0130061333334,-12336666.6666667,"Up"
"2002-09-17",873.52002,1448600000,-0.0201254185336244,0.00144762432358097,0.00325915083727786,1266216666.66667,0.308711859726633,-0.269223087677252,0.0624704956726987,910.0156718,-17.618361,-264046666.666667,"Down"
